Condition,Tag,Never on kids,,,Boots Links,Generic Over the counter medication,Brand name Over the counter medication,Generic Prescription name,Brand Prescription name,Selfcare
abscess,Can be,,"An abscess is a localized collection of pus that forms due to a bacterial infection, typically caused by Staphylococcus aureus.","An abscess is a localized collection of pus that forms due to a bacterial infection, typically caused by Staphylococcus aureus. It appears as a swollen, red, painful lump that may feel warm to the touch. Treatment involves applying warm compresses to help it drain naturally, but larger or persistent abscesses may require medical intervention. A physician may need to drain it through a minor incision and prescribe antibiotics if there’s a spreading infection or underlying health issues. To prevent recurrence, maintaining proper hygiene and treating underlying conditions like diabetes is essential.",https://www.firstderm.com/boots-abscess/,None,None,"Amoxicillin, Clindamycin","Augmentin, Cleocin",Warm compresses
"acne,_unspecified",Never,Never,"Acne is a common skin condition that occurs when hair follicles become clogged with oil and dead skin cells, leading to blackheads, whiteheads, pimples, and, in severe cases, cysts or nodules.","Acne is a common skin condition that occurs when hair follicles become clogged with oil and dead skin cells, leading to blackheads, whiteheads, pimples, and, in severe cases, cysts or nodules. It primarily affects the face, chest, back, and shoulders and is influenced by factors such as hormonal changes, genetics, diet, and stress. Treatment options vary based on severity and may include topical treatments like benzoyl peroxide, salicylic acid, and retinoids, oral medications such as antibiotics, hormonal therapy (e.g., birth control pills), or isotretinoin for severe cases. Proper skincare, a balanced diet, and avoiding excessive touching or picking of acne can also help manage breakouts. Consulting a physician is recommended for personalized treatment.",https://www.firstderm.com/boots-acne-vulgaris-zits/,"Benzoyl peroxide, Salicylic acid","PanOxyl, Neutrogena, Clearasil","Tretinoin, Clindamycin, Doxycycline","Retin-A, Duac, Differin Rx","Gentle cleansing, avoid picking"
acne_comedonica_comedonal_acne,Never,Never,"Acne comedonica (comedonal acne) is a non-inflammatory type of acne characterized by blackheads (open comedones) and whiteheads (closed comedones), usually appearing on the forehead, nose, and chin.","Acne comedonica (comedonal acne) is a non-inflammatory type of acne characterized by blackheads (open comedones) and whiteheads (closed comedones), usually appearing on the forehead, nose, and chin. It results from clogged hair follicles due to excess oil, dead skin cells, and debris. Treatment focuses on unclogging pores and preventing new breakouts. Topical retinoids (like adapalene or tretinoin) are the first-line treatment, as they promote skin cell turnover. Salicylic acid and benzoyl peroxide can help exfoliate and reduce bacteria. Maintaining a gentle skincare routine with non-comedogenic products is essential. If severe, physicians may prescribe stronger retinoids or chemical peels for better management.",https://www.firstderm.com/boots-comedonal-acne/,"Benzoyl peroxide, Salicylic acid","CeraVe Acne Foaming Cleanser, Clean & Clear","Adapalene, Tretinoin","Differin Gel Rx, Retin-A",Oil-free skincare
acne_nodulocystica,Never,Never,"Acne nodulocystica, also known as nodulocystic acne, is a severe form of acne characterized by deep, inflamed nodules and cysts that can lead to scarring. ","Acne nodulocystica, also known as nodulocystic acne, is a severe form of acne characterized by deep, inflamed nodules and cysts that can lead to scarring. It commonly affects the face, chest, and back and is caused by a combination of excessive oil production, bacterial overgrowth (*Cutibacterium acnes*), and inflammation. Treatment typically includes oral isotretinoin, which is the most effective long-term option, along with antibiotics (e.g., doxycycline or minocycline) to reduce inflammation. In some cases, corticosteroid injections may be used for large, painful nodules. Topical treatments like retinoids and benzoyl peroxide can help prevent new lesions, and dermatological procedures such as laser therapy or chemical peels may aid in scar reduction. Consulting a physician is essential for proper management.",https://www.firstderm.com/boots-acne-nodulocystica/,"Benzoyl peroxide, Salicylic acid","CeraVe Acne Foaming Cleanser, Clean & Clear","Isotretinoin, Doxycycline","Accutane, Roaccutane",Dermatologist monitoring
acne_scars,Never,Never,"Acne scars are the result of deep skin damage caused by severe or persistent acne, leading to permanent textural changes such as atrophic (depressed), hypertrophic (raised), or hyperpigmented scars.","Acne scars are the result of deep skin damage caused by severe or persistent acne, leading to permanent textural changes such as atrophic (depressed), hypertrophic (raised), or hyperpigmented scars. Treatment options vary depending on the scar type and severity. Common treatments include laser therapy, chemical peels, microneedling, and dermal fillers, which help stimulate collagen production and improve skin texture. For deeper scars, procedures like subcision or punch excision may be recommended. Topical treatments with retinoids or vitamin C can help with mild scarring and discoloration. Consulting a physician is essential for personalized treatment.",https://www.firstderm.com/boots-acne-scars/,"Silicone gel, AHAs","Mederma, Bio-Oil, The Ordinary Glycolic","Tretinoin, Chemical peels (professional)","Retin-A, TCA peels",Sun protection
acne_vulgaris,Never,Never,"Acne vulgaris is a common skin condition that occurs when hair follicles become clogged with oil and dead skin cells, leading to blackheads, whiteheads, pimples, and, in severe cases, cysts or nodules.","Acne vulgaris is a common skin condition that occurs when hair follicles become clogged with oil and dead skin cells, leading to blackheads, whiteheads, pimples, and, in severe cases, cysts or nodules. It primarily affects the face, chest, back, and shoulders and is influenced by factors such as hormonal changes, genetics, diet, and stress. Treatment options vary based on severity and may include topical treatments like benzoyl peroxide, salicylic acid, and retinoids, oral medications such as antibiotics, hormonal therapy (e.g., birth control pills), or isotretinoin for severe cases. Proper skincare, a balanced diet, and avoiding excessive touching or picking of acne can also help manage breakouts. Consulting a physician is recommended for personalized treatment.",https://www.firstderm.com/boots-acne-vulgaris-zits/,"Benzoyl peroxide, Salicylic acid","Clean & Clear, Neutrogena","Tretinoin, Clindamycin, Doxycycline","Retin-A, Epiduo, Duac",Non-comedogenic products
actinic_keratosis,Never,Never,"Actinic keratosis (AK) is a rough, scaly patch or bump on the skin caused by long-term exposure to ultraviolet (UV) radiation from the sun or tanning beds.","Actinic keratosis (AK) is a rough, scaly patch or bump on the skin caused by long-term exposure to ultraviolet (UV) radiation from the sun or tanning beds. It is considered a precancerous condition, as it can develop into squamous cell carcinoma if left untreated. AKs commonly appear on sun-exposed areas like the face, ears, scalp, and hands. Treatment options include cryotherapy (freezing the lesion with liquid nitrogen), topical medications (such as 5-fluorouracil, imiquimod, or diclofenac), photodynamic therapy (PDT), and laser treatments. Preventative measures include using sunscreen, wearing protective clothing, and avoiding excessive sun exposure.",https://www.firstderm.com/boots-actinic-keratosis/,None,None,"Fluorouracil, Imiquimod","Efudex, Aldara","Sun protection, avoid tanning"
angioma_cherry_angioma,Can be,,"Cherry angiomas are common, benign skin growths that appear as small, red to purple bumps, often developing on the trunk, arms, or legs.","Cherry angiomas are common, benign skin growths that appear as small, red to purple bumps, often developing on the trunk, arms, or legs. They result from an overgrowth of tiny blood vessels (capillaries) and tend to increase with age. While cherry angiomas are harmless and usually require no treatment, some people choose to remove them for cosmetic reasons or if they bleed frequently. Treatment options include laser therapy, electrocautery (burning), cryotherapy (freezing), or shave excision, all of which should be performed by a physician.",https://www.firstderm.com/boots-angioma/,None,None,"Electrocautery, Laser removal",N/A (procedure-based),Monitoring unless cosmetic
atopic_dermatitis,Can be,,"Atopic dermatitis (eczema) is a chronic inflammatory skin condition that causes red, itchy, and dry skin, often triggered by allergens, irritants, or stress.","Atopic dermatitis (eczema) is a chronic inflammatory skin condition that causes red, itchy, and dry skin, often triggered by allergens, irritants, or stress. It commonly affects children but can persist into adulthood. Treatment focuses on moisturizing the skin with emollients, using topical corticosteroids or calcineurin inhibitors to reduce inflammation, and avoiding triggers like harsh soaps, allergens, and stress. In severe cases, antihistamines, biologic therapies (such as dupilumab), or phototherapy may be recommended. Keeping the skin barrier healthy with regular hydration and gentle skincare is essential for managing symptoms and preventing flare-ups.",https://www.firstderm.com/boots-atopic-eczema/,"Hydrocortisone 1%, Colloidal oatmeal","Cortizone-10, Aveeno","Betamethasone, Tacrolimus","Betnovate, Protopic","Moisturizing, trigger avoidance"
atypical_melanocytic_lesion_atypical_nevus,Can be,,An atypical melanocytic lesion (atypical nevus) is an unusual mole that may share some features with melanoma but is benign.,"An atypical melanocytic lesion (atypical nevus) is an unusual mole that may share some features with melanoma but is benign. These lesions often have irregular borders, uneven coloring, or a larger size than common moles. While atypical nevi are not cancerous, they can indicate an increased risk of melanoma, especially if multiple are present. Treatment typically involves monitoring for changes using dermoscopy and photographic tracking. If a lesion shows concerning changes—such as rapid growth, color variation, or asymmetry—excision may be recommended to rule out malignancy. Regular skin checks and sun protection are essential for individuals with atypical nevi.",https://www.firstderm.com/boots-atypical-moles/,None,None,Excision if suspicious,N/A (surgical),"Sun protection, mole checks"
